algoritmo,distribucion,n,U,promedio_seg,desviacion_seg,throughput,memoria_kb
DialSort,uniforme,100000,1024,0.0072551,0.00128293,1.37834e+07,7264
RadixSort,uniforme,100000,1024,0.00127811,0.000132048,7.82404e+07,5112
std::sort,uniforme,100000,1024,0.00433638,5.52129e-05,2.30607e+07,5112
DialSort,casi-ordenado,100000,1024,0.00342314,0.000391176,2.9213e+07,7456
RadixSort,casi-ordenado,100000,1024,0.00155079,3.44493e-05,6.44833e+07,5112
std::sort,casi-ordenado,100000,1024,0.00089332,3.24009e-06,1.11942e+08,5112
DialSort,duplicados,100000,1024,0.00644871,0.000801464,1.5507e+07,7456
RadixSort,duplicados,100000,1024,0.00154998,5.50309e-05,6.45169e+07,4856
std::sort,duplicados,100000,1024,0.00261629,7.93363e-05,3.82221e+07,4464
DialSort,ascendente,100000,1024,0.00341909,0.000188846,2.92475e+07,7456
RadixSort,ascendente,100000,1024,0.00169342,6.95734e-05,5.90521e+07,4856
std::sort,ascendente,100000,1024,0.000769104,2.41774e-05,1.30021e+08,4464
DialSort,descendente,100000,1024,0.00297761,0.000587746,3.3584e+07,7456
RadixSort,descendente,100000,1024,0.00168649,0.000182813,5.92949e+07,7456
std::sort,descendente,100000,1024,0.00088351,8.25098e-05,1.13185e+08,7456
DialSort,uniforme,100000,65536,0.00953691,0.000450945,1.04856e+07,8968
RadixSort,uniforme,100000,65536,0.00126226,5.18935e-05,7.92231e+07,8968
std::sort,uniforme,100000,65536,0.00637131,0.000146985,1.56954e+07,8968
DialSort,casi-ordenado,100000,65536,0.00467996,0.000176704,2.13677e+07,8968
RadixSort,casi-ordenado,100000,65536,0.00143372,0.000120506,6.97484e+07,8968
std::sort,casi-ordenado,100000,65536,0.00192951,9.55147e-05,5.18266e+07,8968
DialSort,duplicados,100000,65536,0.0113133,0.00169464,8.83917e+06,7432
RadixSort,duplicados,100000,65536,0.00145504,6.9595e-05,6.87265e+07,4856
std::sort,duplicados,100000,65536,0.00377886,0.000119739,2.6463e+07,4856
